expr,time,Filename,Version
A4,86137,timings/all_same_sign/1.R,1.3.0
A4,27709,timings/all_same_sign/1.R,1.3.0
A1,46080,timings/all_same_sign/1.R,1.3.0
A4,7229,timings/all_same_sign/1.R,1.3.0
A10,63917526,timings/all_same_sign/1.R,1.3.0
A13,28913,timings/all_same_sign/1.R,1.3.0
A4,5120,timings/all_same_sign/1.R,1.3.0
A7,755653,timings/all_same_sign/1.R,1.3.0
A3,7831,timings/all_same_sign/1.R,1.3.0
A10,76410938,timings/all_same_sign/1.R,1.3.0
A11,172626653,timings/all_same_sign/1.R,1.3.0
A4,17469,timings/all_same_sign/1.R,1.3.0
A8,244857,timings/all_same_sign/1.R,1.3.0
A11,160681081,timings/all_same_sign/1.R,1.3.0
A9,194861,timings/all_same_sign/1.R,1.3.0
A1,8734,timings/all_same_sign/1.R,1.3.0
A9,146372,timings/all_same_sign/1.R,1.3.0
A13,5120,timings/all_same_sign/1.R,1.3.0
A10,62214673,timings/all_same_sign/1.R,1.3.0
A7,646024,timings/all_same_sign/1.R,1.3.0
A10,62386344,timings/all_same_sign/1.R,1.3.0
A7,658072,timings/all_same_sign/1.R,1.3.0
A12,8433,timings/all_same_sign/1.R,1.3.0
A12,3012,timings/all_same_sign/1.R,1.3.0
A3,4518,timings/all_same_sign/1.R,1.3.0
A10,62338758,timings/all_same_sign/1.R,1.3.0
A6,877328,timings/all_same_sign/1.R,1.3.0
A5,1998910,timings/all_same_sign/1.R,1.3.0
A1,4518,timings/all_same_sign/1.R,1.3.0
A13,2711,timings/all_same_sign/1.R,1.3.0
A14,156913,timings/all_same_sign/1.R,1.3.0
A10,62294485,timings/all_same_sign/1.R,1.3.0
A14,193356,timings/all_same_sign/1.R,1.3.0
A6,860764,timings/all_same_sign/1.R,1.3.0
A13,3012,timings/all_same_sign/1.R,1.3.0
A11,151149140,timings/all_same_sign/1.R,1.3.0
A12,22588,timings/all_same_sign/1.R,1.3.0
A4,4518,timings/all_same_sign/1.R,1.3.0
A11,151446703,timings/all_same_sign/1.R,1.3.0
A7,637893,timings/all_same_sign/1.R,1.3.0
A6,849920,timings/all_same_sign/1.R,1.3.0
A2,4819,timings/all_same_sign/1.R,1.3.0
A2,3012,timings/all_same_sign/1.R,1.3.0
A5,2016980,timings/all_same_sign/1.R,1.3.0
A14,156010,timings/all_same_sign/1.R,1.3.0
A2,3916,timings/all_same_sign/1.R,1.3.0
A1,4216,timings/all_same_sign/1.R,1.3.0
A6,865281,timings/all_same_sign/1.R,1.3.0
A6,861968,timings/all_same_sign/1.R,1.3.0
A10,62923041,timings/all_same_sign/1.R,1.3.0
A14,173780,timings/all_same_sign/1.R,1.3.0
A10,62773657,timings/all_same_sign/1.R,1.3.0
A6,874919,timings/all_same_sign/1.R,1.3.0
A12,6325,timings/all_same_sign/1.R,1.3.0
A6,843897,timings/all_same_sign/1.R,1.3.0
A9,176790,timings/all_same_sign/1.R,1.3.0
A6,852029,timings/all_same_sign/1.R,1.3.0
A5,1971804,timings/all_same_sign/1.R,1.3.0
A9,161431,timings/all_same_sign/1.R,1.3.0
A5,2044087,timings/all_same_sign/1.R,1.3.0
A1,3614,timings/all_same_sign/1.R,1.3.0
A1,2410,timings/all_same_sign/1.R,1.3.0
A10,62838109,timings/all_same_sign/1.R,1.3.0
A4,15360,timings/all_same_sign/1.R,1.3.0
A13,3314,timings/all_same_sign/1.R,1.3.0
A8,162936,timings/all_same_sign/1.R,1.3.0
A10,62871540,timings/all_same_sign/1.R,1.3.0
A5,2011861,timings/all_same_sign/1.R,1.3.0
A13,3915,timings/all_same_sign/1.R,1.3.0
A13,2109,timings/all_same_sign/1.R,1.3.0
A12,4216,timings/all_same_sign/1.R,1.3.0
A8,154203,timings/all_same_sign/1.R,1.3.0
A12,4217,timings/all_same_sign/1.R,1.3.0
A3,3012,timings/all_same_sign/1.R,1.3.0
A7,633074,timings/all_same_sign/1.R,1.3.0
A12,4819,timings/all_same_sign/1.R,1.3.0
A8,146974,timings/all_same_sign/1.R,1.3.0
A14,173176,timings/all_same_sign/1.R,1.3.0
A9,175887,timings/all_same_sign/1.R,1.3.0
A9,146975,timings/all_same_sign/1.R,1.3.0
A12,4216,timings/all_same_sign/1.R,1.3.0
A5,1975117,timings/all_same_sign/1.R,1.3.0
A13,3615,timings/all_same_sign/1.R,1.3.0
A9,164141,timings/all_same_sign/1.R,1.3.0
A6,892387,timings/all_same_sign/1.R,1.3.0
A3,2410,timings/all_same_sign/1.R,1.3.0
A14,172575,timings/all_same_sign/1.R,1.3.0
A6,845704,timings/all_same_sign/1.R,1.3.0
A4,3012,timings/all_same_sign/1.R,1.3.0
A14,164142,timings/all_same_sign/1.R,1.3.0
A9,146974,timings/all_same_sign/1.R,1.3.0
A2,4217,timings/all_same_sign/1.R,1.3.0
A4,2711,timings/all_same_sign/1.R,1.3.0
A10,62872142,timings/all_same_sign/1.R,1.3.0
A6,864980,timings/all_same_sign/1.R,1.3.0
A3,4216,timings/all_same_sign/1.R,1.3.0
A10,62890213,timings/all_same_sign/1.R,1.3.0
A9,182513,timings/all_same_sign/1.R,1.3.0
A10,63309752,timings/all_same_sign/1.R,1.3.0
A3,15962,timings/all_same_sign/1.R,1.3.0
A10,62914005,timings/all_same_sign/1.R,1.3.0
A13,19276,timings/all_same_sign/1.R,1.3.0
A1,6024,timings/all_same_sign/1.R,1.3.0
A5,2001922,timings/all_same_sign/1.R,1.3.0
A4,3313,timings/all_same_sign/1.R,1.3.0
A10,62883888,timings/all_same_sign/1.R,1.3.0
A10,63232349,timings/all_same_sign/1.R,1.3.0
A3,22890,timings/all_same_sign/1.R,1.3.0
A9,160828,timings/all_same_sign/1.R,1.3.0
A2,5120,timings/all_same_sign/1.R,1.3.0
A8,203294,timings/all_same_sign/1.R,1.3.0
A5,2050411,timings/all_same_sign/1.R,1.3.0
A14,161130,timings/all_same_sign/1.R,1.3.0
A3,3915,timings/all_same_sign/1.R,1.3.0
A2,2711,timings/all_same_sign/1.R,1.3.0
A7,655662,timings/all_same_sign/1.R,1.3.0
A12,5120,timings/all_same_sign/1.R,1.3.0
A1,3313,timings/all_same_sign/1.R,1.3.0
A14,165045,timings/all_same_sign/1.R,1.3.0
A9,165648,timings/all_same_sign/1.R,1.3.0
A10,63095012,timings/all_same_sign/1.R,1.3.0
A4,21082,timings/all_same_sign/1.R,1.3.0
A3,4517,timings/all_same_sign/1.R,1.3.0
A7,687586,timings/all_same_sign/1.R,1.3.0
A2,6024,timings/all_same_sign/1.R,1.3.0
A9,159624,timings/all_same_sign/1.R,1.3.0
A1,21685,timings/all_same_sign/1.R,1.3.0
A11,150913921,timings/all_same_sign/1.R,1.3.0
A14,172273,timings/all_same_sign/1.R,1.3.0
A10,62969422,timings/all_same_sign/1.R,1.3.0
A2,17770,timings/all_same_sign/1.R,1.3.0
A8,162033,timings/all_same_sign/1.R,1.3.0
A12,7229,timings/all_same_sign/1.R,1.3.0
A1,3915,timings/all_same_sign/1.R,1.3.0
A6,857751,timings/all_same_sign/1.R,1.3.0
A5,2013969,timings/all_same_sign/1.R,1.3.0
A6,860462,timings/all_same_sign/1.R,1.3.0
A1,2711,timings/all_same_sign/1.R,1.3.0
A9,155106,timings/all_same_sign/1.R,1.3.0
A14,157215,timings/all_same_sign/1.R,1.3.0
A6,881845,timings/all_same_sign/1.R,1.3.0
A12,3916,timings/all_same_sign/1.R,1.3.0
A11,151082580,timings/all_same_sign/1.R,1.3.0
A3,22890,timings/all_same_sign/1.R,1.3.0
A3,2711,timings/all_same_sign/1.R,1.3.0
A14,156009,timings/all_same_sign/1.R,1.3.0
A6,864076,timings/all_same_sign/1.R,1.3.0
A1,5120,timings/all_same_sign/1.R,1.3.0
A3,2109,timings/all_same_sign/1.R,1.3.0
A10,63084471,timings/all_same_sign/1.R,1.3.0
A3,15360,timings/all_same_sign/1.R,1.3.0
A10,63098024,timings/all_same_sign/1.R,1.3.0
A13,15962,timings/all_same_sign/1.R,1.3.0
A9,162936,timings/all_same_sign/1.R,1.3.0
A9,158720,timings/all_same_sign/1.R,1.3.0
A9,143059,timings/all_same_sign/1.R,1.3.0
A14,155709,timings/all_same_sign/1.R,1.3.0
A5,2022402,timings/all_same_sign/1.R,1.3.0
A6,861968,timings/all_same_sign/1.R,1.3.0
A9,142155,timings/all_same_sign/1.R,1.3.0
A11,150733214,timings/all_same_sign/1.R,1.3.0
A3,16564,timings/all_same_sign/1.R,1.3.0
A6,862269,timings/all_same_sign/1.R,1.3.0
A13,3012,timings/all_same_sign/1.R,1.3.0
A8,157214,timings/all_same_sign/1.R,1.3.0
A2,4819,timings/all_same_sign/1.R,1.3.0
A14,155407,timings/all_same_sign/1.R,1.3.0
A4,3916,timings/all_same_sign/1.R,1.3.0
A11,150719963,timings/all_same_sign/1.R,1.3.0
A5,2013366,timings/all_same_sign/1.R,1.3.0
A4,4819,timings/all_same_sign/1.R,1.3.0
A7,633073,timings/all_same_sign/1.R,1.3.0
A13,4518,timings/all_same_sign/1.R,1.3.0
A13,2108,timings/all_same_sign/1.R,1.3.0
A8,174683,timings/all_same_sign/1.R,1.3.0
A9,154805,timings/all_same_sign/1.R,1.3.0
A12,5120,timings/all_same_sign/1.R,1.3.0
A9,141854,timings/all_same_sign/1.R,1.3.0
A7,588198,timings/all_same_sign/1.R,1.3.0
A5,1999813,timings/all_same_sign/1.R,1.3.0
A9,158721,timings/all_same_sign/1.R,1.3.0
A10,62171604,timings/all_same_sign/1.R,1.3.0
A14,167756,timings/all_same_sign/1.R,1.3.0
A2,6024,timings/all_same_sign/1.R,1.3.0
A8,155407,timings/all_same_sign/1.R,1.3.0
A10,62362551,timings/all_same_sign/1.R,1.3.0
A13,14758,timings/all_same_sign/1.R,1.3.0
A14,156010,timings/all_same_sign/1.R,1.3.0
