expr,time,Filename,Version
A1e5_N_1,1426373,timings/if_else/1.R,1.1.0
A1e5_N_N,1142664,timings/if_else/1.R,1.1.0
A1e5_1_N,546937,timings/if_else/1.R,1.1.0
A1e5_1_1,604461,timings/if_else/1.R,1.1.0
A1e5_1_N,545732,timings/if_else/1.R,1.1.0
A1e5_N_1,1073997,timings/if_else/1.R,1.1.0
A1e5_1_N,560791,timings/if_else/1.R,1.1.0
A1e5_N_N,1037855,timings/if_else/1.R,1.1.0
A1e5_1_N,573742,timings/if_else/1.R,1.1.0
A1e5_1_N,539408,timings/if_else/1.R,1.1.0
A1e5_1_1,646024,timings/if_else/1.R,1.1.0
A1e5_1_1,587596,timings/if_else/1.R,1.1.0
A1e5_N_1,1068876,timings/if_else/1.R,1.1.0
A1e5_1_1,573139,timings/if_else/1.R,1.1.0
A1e5_N_N,1050204,timings/if_else/1.R,1.1.0
A1e5_1_N,572838,timings/if_else/1.R,1.1.0
A1e5_1_1,555069,timings/if_else/1.R,1.1.0
A1e5_N_N,1047794,timings/if_else/1.R,1.1.0
A1e5_1_1,599342,timings/if_else/1.R,1.1.0
A1e5_N_N,1048697,timings/if_else/1.R,1.1.0
A1e5_N_1,1073996,timings/if_else/1.R,1.1.0
A1e5_N_1,1072491,timings/if_else/1.R,1.1.0
A1e5_N_1,1289338,timings/if_else/1.R,1.1.0
A1e5_1_N,1054721,timings/if_else/1.R,1.1.0
A1e5_1_N,1043578,timings/if_else/1.R,1.1.0
A1e5_N_1,1626655,timings/if_else/1.R,1.1.0
A1e5_N_1,1642919,timings/if_else/1.R,1.1.0
A1e5_1_N,1055625,timings/if_else/1.R,1.1.0
A1e5_1_1,892688,timings/if_else/1.R,1.1.0
A1e5_1_1,879135,timings/if_else/1.R,1.1.0
A1e5_N_N,1807964,timings/if_else/1.R,1.1.0
A1e5_1_N,1059239,timings/if_else/1.R,1.1.0
A1e5_N_N,1772727,timings/if_else/1.R,1.1.0
A1e5_1_N,1135135,timings/if_else/1.R,1.1.0
A1e5_N_N,1816096,timings/if_else/1.R,1.1.0
A1e5_1_1,913770,timings/if_else/1.R,1.1.0
A1e5_1_N,1083935,timings/if_else/1.R,1.1.0
A1e5_1_N,1056829,timings/if_else/1.R,1.1.0
A1e5_1_N,1067973,timings/if_else/1.R,1.1.0
A1e5_1_1,877328,timings/if_else/1.R,1.1.0
A1e5_N_N,1832058,timings/if_else/1.R,1.1.0
A1e5_1_1,899615,timings/if_else/1.R,1.1.0
A1e5_N_1,1655869,timings/if_else/1.R,1.1.0
A1e5_1_1,905337,timings/if_else/1.R,1.1.0
A1e5_N_N,2009752,timings/if_else/1.R,1.1.0
A1e5_N_N,2041978,timings/if_else/1.R,1.1.0
A1e5_1_1,915276,timings/if_else/1.R,1.1.0
A1e5_1_1,884858,timings/if_else/1.R,1.1.0
A1e5_N_N,1924519,timings/if_else/1.R,1.1.0
A1e5_N_1,1642919,timings/if_else/1.R,1.1.0
A1e5_1_N,1059540,timings/if_else/1.R,1.1.0
A1e5_1_N,1068575,timings/if_else/1.R,1.1.0
A1e5_1_N,1050806,timings/if_else/1.R,1.1.0
A1e5_N_N,1828143,timings/if_else/1.R,1.1.0
