expr,time,Filename,Version
A5,2013066,timings/all_same_sign/1.R,1.2.0
A13,675068292,timings/all_same_sign/1.R,1.2.0
A13,9337,timings/all_same_sign/1.R,1.2.0
A1,6626,timings/all_same_sign/1.R,1.2.0
A4,3313,timings/all_same_sign/1.R,1.2.0
A1,3313,timings/all_same_sign/1.R,1.2.0
A8,212330,timings/all_same_sign/1.R,1.2.0
A6,852631,timings/all_same_sign/1.R,1.2.0
A8,171671,timings/all_same_sign/1.R,1.2.0
A6,865281,timings/all_same_sign/1.R,1.2.0
A3,3313,timings/all_same_sign/1.R,1.2.0
A9,192753,timings/all_same_sign/1.R,1.2.0
A1,4217,timings/all_same_sign/1.R,1.2.0
A6,907747,timings/all_same_sign/1.R,1.2.0
A5,2002825,timings/all_same_sign/1.R,1.2.0
A14,200584,timings/all_same_sign/1.R,1.2.0
A11,154495213,timings/all_same_sign/1.R,1.2.0
A3,28009,timings/all_same_sign/1.R,1.2.0
A6,847512,timings/all_same_sign/1.R,1.2.0
A7,763784,timings/all_same_sign/1.R,1.2.0
A9,256904,timings/all_same_sign/1.R,1.2.0
A7,661986,timings/all_same_sign/1.R,1.2.0
A12,6927,timings/all_same_sign/1.R,1.2.0
A4,3915,timings/all_same_sign/1.R,1.2.0
A10,74347878,timings/all_same_sign/1.R,1.2.0
A10,65367090,timings/all_same_sign/1.R,1.2.0
A12,18372,timings/all_same_sign/1.R,1.2.0
A13,3614,timings/all_same_sign/1.R,1.2.0
A6,836367,timings/all_same_sign/1.R,1.2.0
A13,2109,timings/all_same_sign/1.R,1.2.0
A7,595728,timings/all_same_sign/1.R,1.2.0
A13,4217,timings/all_same_sign/1.R,1.2.0
A8,158720,timings/all_same_sign/1.R,1.2.0
A4,4819,timings/all_same_sign/1.R,1.2.0
A1,3615,timings/all_same_sign/1.R,1.2.0
A7,550551,timings/all_same_sign/1.R,1.2.0
A5,1926929,timings/all_same_sign/1.R,1.2.0
A6,831850,timings/all_same_sign/1.R,1.2.0
A6,831248,timings/all_same_sign/1.R,1.2.0
A5,1908256,timings/all_same_sign/1.R,1.2.0
A8,156913,timings/all_same_sign/1.R,1.2.0
A2,4517,timings/all_same_sign/1.R,1.2.0
A9,149383,timings/all_same_sign/1.R,1.2.0
A1,3915,timings/all_same_sign/1.R,1.2.0
A12,2410,timings/all_same_sign/1.R,1.2.0
A13,2711,timings/all_same_sign/1.R,1.2.0
A7,559887,timings/all_same_sign/1.R,1.2.0
A7,556574,timings/all_same_sign/1.R,1.2.0
A2,3915,timings/all_same_sign/1.R,1.2.0
A5,1953131,timings/all_same_sign/1.R,1.2.0
A4,3012,timings/all_same_sign/1.R,1.2.0
A2,2410,timings/all_same_sign/1.R,1.2.0
A9,134626,timings/all_same_sign/1.R,1.2.0
A1,3916,timings/all_same_sign/1.R,1.2.0
A14,147878,timings/all_same_sign/1.R,1.2.0
A14,163840,timings/all_same_sign/1.R,1.2.0
