expr,time,Filename,Version
A1e5_1_N,961357,timings/if_else/1.R,1.3.0
A1e5_N_1,1302288,timings/if_else/1.R,1.3.0
A1e5_1_1,873112,timings/if_else/1.R,1.3.0
A1e5_N_N,1162843,timings/if_else/1.R,1.3.0
A1e5_N_1,1183324,timings/if_else/1.R,1.3.0
A1e5_N_1,1123691,timings/if_else/1.R,1.3.0
A1e5_N_N,1100199,timings/if_else/1.R,1.3.0
A1e5_N_N,1107126,timings/if_else/1.R,1.3.0
A1e5_N_1,1113752,timings/if_else/1.R,1.3.0
A1e5_N_N,1114053,timings/if_else/1.R,1.3.0
A1e5_N_N,1131220,timings/if_else/1.R,1.3.0
A1e5_N_1,1120679,timings/if_else/1.R,1.3.0
A1e5_N_N,1115258,timings/if_else/1.R,1.3.0
A1e5_N_1,1170975,timings/if_else/1.R,1.3.0
A1e5_1_N,671925,timings/if_else/1.R,1.3.0
A1e5_1_1,596028,timings/if_else/1.R,1.3.0
A1e5_N_1,1136641,timings/if_else/1.R,1.3.0
A1e5_1_1,667408,timings/if_else/1.R,1.3.0
A1e5_1_1,884255,timings/if_else/1.R,1.3.0
A1e5_N_1,1704962,timings/if_else/1.R,1.3.0
A1e5_N_1,1649545,timings/if_else/1.R,1.3.0
A1e5_N_1,1718514,timings/if_else/1.R,1.3.0
A1e5_N_N,1859766,timings/if_else/1.R,1.3.0
A1e5_N_N,1885969,timings/if_else/1.R,1.3.0
A1e5_1_N,1078514,timings/if_else/1.R,1.3.0
A1e5_N_1,1710382,timings/if_else/1.R,1.3.0
A1e5_1_N,1104114,timings/if_else/1.R,1.3.0
A1e5_N_N,1922110,timings/if_else/1.R,1.3.0
A1e5_N_1,1835673,timings/if_else/1.R,1.3.0
A1e5_N_1,1719117,timings/if_else/1.R,1.3.0
A1e5_1_1,919793,timings/if_else/1.R,1.3.0
A1e5_1_N,1157422,timings/if_else/1.R,1.3.0
A1e5_1_N,1159530,timings/if_else/1.R,1.3.0
A1e5_N_N,1934458,timings/if_else/1.R,1.3.0
A1e5_N_N,1936567,timings/if_else/1.R,1.3.0
A1e5_N_N,1931446,timings/if_else/1.R,1.3.0
A1e5_N_N,1882957,timings/if_else/1.R,1.3.0
A1e5_N_1,1694420,timings/if_else/1.R,1.3.0
A1e5_N_1,1706166,timings/if_else/1.R,1.3.0
A1e5_N_1,1897715,timings/if_else/1.R,1.3.0
A1e5_N_N,1915786,timings/if_else/1.R,1.3.0
A1e5_N_N,2034449,timings/if_else/1.R,1.3.0
A1e5_1_1,945996,timings/if_else/1.R,1.3.0
A1e5_1_N,1115860,timings/if_else/1.R,1.3.0
A1e5_1_N,1110740,timings/if_else/1.R,1.3.0
A1e5_1_N,1102608,timings/if_else/1.R,1.3.0
A1e5_1_N,1121582,timings/if_else/1.R,1.3.0
A1e5_1_1,932444,timings/if_else/1.R,1.3.0
A1e5_1_1,924612,timings/if_else/1.R,1.3.0
A1e5_1_N,1121582,timings/if_else/1.R,1.3.0
A1e5_N_N,1998006,timings/if_else/1.R,1.3.0
A1e5_1_1,985752,timings/if_else/1.R,1.3.0
A1e5_1_N,1158025,timings/if_else/1.R,1.3.0
A1e5_N_1,1827540,timings/if_else/1.R,1.3.0
A1e5_1_N,1153205,timings/if_else/1.R,1.3.0
A1e5_1_N,1106523,timings/if_else/1.R,1.3.0
A1e5_1_N,1129413,timings/if_else/1.R,1.3.0
A1e5_1_1,910458,timings/if_else/1.R,1.3.0
A1e5_N_1,1720322,timings/if_else/1.R,1.3.0
A1e5_1_1,974608,timings/if_else/1.R,1.3.0
A1e5_1_1,932745,timings/if_else/1.R,1.3.0
A1e5_N_N,1932651,timings/if_else/1.R,1.3.0
A1e5_1_1,951418,timings/if_else/1.R,1.3.0
A1e5_N_1,1756764,timings/if_else/1.R,1.3.0
A1e5_N_N,1888077,timings/if_else/1.R,1.3.0
A1e5_N_1,1741705,timings/if_else/1.R,1.3.0
A1e5_N_1,1782665,timings/if_else/1.R,1.3.0
A1e5_1_N,1140556,timings/if_else/1.R,1.3.0
A1e5_N_1,1770618,timings/if_else/1.R,1.3.0
A1e5_N_N,1947409,timings/if_else/1.R,1.3.0
A1e5_N_N,1907051,timings/if_else/1.R,1.3.0
A1e5_1_1,956236,timings/if_else/1.R,1.3.0
A1e5_N_N,2008547,timings/if_else/1.R,1.3.0
A1e5_N_N,1957046,timings/if_else/1.R,1.3.0
A1e5_N_N,2059446,timings/if_else/1.R,1.3.0
A1e5_1_1,965874,timings/if_else/1.R,1.3.0
A1e5_N_N,2048302,timings/if_else/1.R,1.3.0
A1e5_1_N,1158928,timings/if_else/1.R,1.3.0
A1e5_N_1,1795014,timings/if_else/1.R,1.3.0
A1e5_1_N,1119173,timings/if_else/1.R,1.3.0
A1e5_N_1,1749235,timings/if_else/1.R,1.3.0
A1e5_1_1,952622,timings/if_else/1.R,1.3.0
A1e5_N_1,1767907,timings/if_else/1.R,1.3.0
A1e5_1_1,934551,timings/if_else/1.R,1.3.0
A1e5_1_1,980029,timings/if_else/1.R,1.3.0
A1e5_N_N,1954938,timings/if_else/1.R,1.3.0
A1e5_1_N,1149592,timings/if_else/1.R,1.3.0
A1e5_N_1,1725441,timings/if_else/1.R,1.3.0
A1e5_N_1,1767907,timings/if_else/1.R,1.3.0
A1e5_N_1,1711888,timings/if_else/1.R,1.3.0
A1e5_N_1,1782966,timings/if_else/1.R,1.3.0
A1e5_1_1,947201,timings/if_else/1.R,1.3.0
A1e5_1_N,1127304,timings/if_else/1.R,1.3.0
A1e5_1_1,952019,timings/if_else/1.R,1.3.0
A1e5_1_N,1118269,timings/if_else/1.R,1.3.0
A1e5_1_N,1075201,timings/if_else/1.R,1.3.0
A1e5_N_N,1858561,timings/if_else/1.R,1.3.0
A1e5_N_N,1890486,timings/if_else/1.R,1.3.0
A1e5_1_N,1123088,timings/if_else/1.R,1.3.0
A1e5_1_N,1137846,timings/if_else/1.R,1.3.0
A1e5_1_N,1152603,timings/if_else/1.R,1.3.0
A1e5_N_1,1707973,timings/if_else/1.R,1.3.0
A1e5_N_1,1723935,timings/if_else/1.R,1.3.0
A1e5_1_1,907445,timings/if_else/1.R,1.3.0
A1e5_1_1,949611,timings/if_else/1.R,1.3.0
A1e5_N_N,1919700,timings/if_else/1.R,1.3.0
A1e5_N_1,1709479,timings/if_else/1.R,1.3.0
A1e5_N_N,1892595,timings/if_else/1.R,1.3.0
A1e5_N_1,1702552,timings/if_else/1.R,1.3.0
A1e5_1_N,1093572,timings/if_else/1.R,1.3.0
A1e5_N_1,1705564,timings/if_else/1.R,1.3.0
A1e5_N_1,1713695,timings/if_else/1.R,1.3.0
A1e5_1_N,1083032,timings/if_else/1.R,1.3.0
A1e5_1_1,936057,timings/if_else/1.R,1.3.0
A1e5_1_1,961657,timings/if_else/1.R,1.3.0
A1e5_1_N,1110137,timings/if_else/1.R,1.3.0
A1e5_N_N,1919099,timings/if_else/1.R,1.3.0
A1e5_1_N,1145676,timings/if_else/1.R,1.3.0
A1e5_N_1,1722731,timings/if_else/1.R,1.3.0
A1e5_1_1,944189,timings/if_else/1.R,1.3.0
A1e5_N_1,1781460,timings/if_else/1.R,1.3.0
A1e5_N_N,1907051,timings/if_else/1.R,1.3.0
A1e5_1_N,1178203,timings/if_else/1.R,1.3.0
A1e5_1_N,1185131,timings/if_else/1.R,1.3.0
A1e5_1_1,916179,timings/if_else/1.R,1.3.0
A1e5_1_1,1011050,timings/if_else/1.R,1.3.0
A1e5_N_N,1994091,timings/if_else/1.R,1.3.0
A1e5_1_N,1160434,timings/if_else/1.R,1.3.0
A1e5_N_N,2015474,timings/if_else/1.R,1.3.0
A1e5_1_1,949008,timings/if_else/1.R,1.3.0
A1e5_1_N,1127305,timings/if_else/1.R,1.3.0
A1e5_1_1,946298,timings/if_else/1.R,1.3.0
A1e5_1_N,1136641,timings/if_else/1.R,1.3.0
A1e5_1_N,1121884,timings/if_else/1.R,1.3.0
A1e5_1_N,1120980,timings/if_else/1.R,1.3.0
A1e5_1_N,1107126,timings/if_else/1.R,1.3.0
A1e5_N_N,1948312,timings/if_else/1.R,1.3.0
A1e5_1_N,1164350,timings/if_else/1.R,1.3.0
A1e5_1_1,947803,timings/if_else/1.R,1.3.0
A1e5_1_1,965874,timings/if_else/1.R,1.3.0
A1e5_1_1,950514,timings/if_else/1.R,1.3.0
A1e5_N_1,1772726,timings/if_else/1.R,1.3.0
A1e5_1_N,1137243,timings/if_else/1.R,1.3.0
A1e5_1_N,1166157,timings/if_else/1.R,1.3.0
A1e5_N_1,1785978,timings/if_else/1.R,1.3.0
A1e5_N_N,1999513,timings/if_else/1.R,1.3.0
A1e5_N_N,1991682,timings/if_else/1.R,1.3.0
A1e5_N_1,1823324,timings/if_else/1.R,1.3.0
A1e5_1_1,950815,timings/if_else/1.R,1.3.0
A1e5_1_N,1186335,timings/if_else/1.R,1.3.0
A1e5_1_1,946900,timings/if_else/1.R,1.3.0
A1e5_1_N,1174589,timings/if_else/1.R,1.3.0
A1e5_1_1,940575,timings/if_else/1.R,1.3.0
A1e5_1_N,1158627,timings/if_else/1.R,1.3.0
A1e5_1_1,995389,timings/if_else/1.R,1.3.0
A1e5_1_1,933347,timings/if_else/1.R,1.3.0
A1e5_1_N,1192359,timings/if_else/1.R,1.3.0
A1e5_N_N,1954336,timings/if_else/1.R,1.3.0
A1e5_N_1,1758570,timings/if_else/1.R,1.3.0
A1e5_N_N,1986260,timings/if_else/1.R,1.3.0
A1e5_N_1,1793507,timings/if_else/1.R,1.3.0
A1e5_N_N,1991079,timings/if_else/1.R,1.3.0
A1e5_1_1,966778,timings/if_else/1.R,1.3.0
A1e5_1_1,947502,timings/if_else/1.R,1.3.0
A1e5_N_N,2007945,timings/if_else/1.R,1.3.0
A1e5_N_N,1978430,timings/if_else/1.R,1.3.0
A1e5_1_N,1144772,timings/if_else/1.R,1.3.0
A1e5_N_N,2000114,timings/if_else/1.R,1.3.0
A1e5_1_N,1168565,timings/if_else/1.R,1.3.0
A1e5_1_1,1022194,timings/if_else/1.R,1.3.0
A1e5_N_N,2032039,timings/if_else/1.R,1.3.0
A1e5_N_1,1834768,timings/if_else/1.R,1.3.0
A1e5_1_N,1196876,timings/if_else/1.R,1.3.0
A1e5_N_N,1999512,timings/if_else/1.R,1.3.0
A1e5_N_1,1815795,timings/if_else/1.R,1.3.0
A1e5_1_1,969187,timings/if_else/1.R,1.3.0
A1e5_1_1,969789,timings/if_else/1.R,1.3.0
A1e5_1_1,1028820,timings/if_else/1.R,1.3.0
A1e5_1_1,965573,timings/if_else/1.R,1.3.0
A1e5_1_N,1194467,timings/if_else/1.R,1.3.0
A1e5_1_N,1202297,timings/if_else/1.R,1.3.0
A1e5_1_1,992377,timings/if_else/1.R,1.3.0
A1e5_1_N,1158024,timings/if_else/1.R,1.3.0
A1e5_1_N,1186035,timings/if_else/1.R,1.3.0
A1e5_N_N,1967587,timings/if_else/1.R,1.3.0
A1e5_1_1,999304,timings/if_else/1.R,1.3.0
A1e5_N_N,1976924,timings/if_else/1.R,1.3.0
A1e5_N_N,2000717,timings/if_else/1.R,1.3.0
A1e5_1_N,1153809,timings/if_else/1.R,1.3.0
A1e5_1_N,1143870,timings/if_else/1.R,1.3.0
A1e5_1_1,1012556,timings/if_else/1.R,1.3.0
