expr,time,Filename,Version
A1e5_N_N,1374270,timings/if_else/1.R,1.0.0
A1e5_N_1,1089959,timings/if_else/1.R,1.0.0
A1e5_1_1,574645,timings/if_else/1.R,1.0.0
A1e5_N_N,1038759,timings/if_else/1.R,1.0.0
A1e5_N_1,1072491,timings/if_else/1.R,1.0.0
A1e5_N_N,1042674,timings/if_else/1.R,1.0.0
A1e5_1_1,625846,timings/if_else/1.R,1.0.0
A1e5_1_1,557177,timings/if_else/1.R,1.0.0
A1e5_N_1,1088754,timings/if_else/1.R,1.0.0
A1e5_N_N,1059540,timings/if_else/1.R,1.0.0
A1e5_N_N,1058335,timings/if_else/1.R,1.0.0
A1e5_1_N,559586,timings/if_else/1.R,1.0.0
A1e5_N_1,1064659,timings/if_else/1.R,1.0.0
A1e5_N_N,1072189,timings/if_else/1.R,1.0.0
A1e5_N_1,1076707,timings/if_else/1.R,1.0.0
A1e5_N_N,1066768,timings/if_else/1.R,1.0.0
A1e5_N_1,1511907,timings/if_else/1.R,1.0.0
A1e5_N_1,1612199,timings/if_else/1.R,1.0.0
A1e5_N_N,1784472,timings/if_else/1.R,1.0.0
A1e5_N_N,1836576,timings/if_else/1.R,1.0.0
A1e5_N_1,1673338,timings/if_else/1.R,1.0.0
A1e5_N_1,1640509,timings/if_else/1.R,1.0.0
A1e5_1_N,1047492,timings/if_else/1.R,1.0.0
A1e5_1_N,1048998,timings/if_else/1.R,1.0.0
A1e5_1_1,895699,timings/if_else/1.R,1.0.0
A1e5_1_N,1071285,timings/if_else/1.R,1.0.0
A1e5_1_N,1064961,timings/if_else/1.R,1.0.0
A1e5_1_N,1029723,timings/if_else/1.R,1.0.0
A1e5_1_N,1052010,timings/if_else/1.R,1.0.0
A1e5_1_1,923408,timings/if_else/1.R,1.0.0
A1e5_N_1,1649545,timings/if_else/1.R,1.0.0
A1e5_N_1,1691409,timings/if_else/1.R,1.0.0
A1e5_1_1,884556,timings/if_else/1.R,1.0.0
A1e5_1_1,862871,timings/if_else/1.R,1.0.0
A1e5_N_N,1919399,timings/if_else/1.R,1.0.0
A1e5_N_N,1977225,timings/if_else/1.R,1.0.0
A1e5_1_1,938166,timings/if_else/1.R,1.0.0
A1e5_N_1,1701649,timings/if_else/1.R,1.0.0
