expr,time,Filename,Version
A1e5_N_1,1408905,timings/if_else/1.R,1.2.0
A1e5_N_N,1181517,timings/if_else/1.R,1.2.0
A1e5_N_1,1266147,timings/if_else/1.R,1.2.0
A1e5_1_1,618014,timings/if_else/1.R,1.2.0
A1e5_N_1,1152603,timings/if_else/1.R,1.2.0
A1e5_N_1,1127605,timings/if_else/1.R,1.2.0
A1e5_N_N,1094175,timings/if_else/1.R,1.2.0
A1e5_1_1,613497,timings/if_else/1.R,1.2.0
A1e5_1_N,572236,timings/if_else/1.R,1.2.0
A1e5_N_N,1096284,timings/if_else/1.R,1.2.0
A1e5_N_1,1118570,timings/if_else/1.R,1.2.0
A1e5_N_1,1111944,timings/if_else/1.R,1.2.0
A1e5_N_1,1130919,timings/if_else/1.R,1.2.0
A1e5_N_N,1120980,timings/if_else/1.R,1.2.0
A1e5_1_1,642109,timings/if_else/1.R,1.2.0
A1e5_1_N,626749,timings/if_else/1.R,1.2.0
A1e5_N_1,1114052,timings/if_else/1.R,1.2.0
A1e5_N_N,1176396,timings/if_else/1.R,1.2.0
A1e5_1_N,711680,timings/if_else/1.R,1.2.0
A1e5_1_1,906241,timings/if_else/1.R,1.2.0
A1e5_N_N,1807964,timings/if_else/1.R,1.2.0
A1e5_1_1,854739,timings/if_else/1.R,1.2.0
A1e5_N_N,1785978,timings/if_else/1.R,1.2.0
A1e5_1_N,1044180,timings/if_else/1.R,1.2.0
A1e5_1_1,887568,timings/if_else/1.R,1.2.0
A1e5_1_1,847812,timings/if_else/1.R,1.2.0
A1e5_1_1,849921,timings/if_else/1.R,1.2.0
A1e5_N_N,1812482,timings/if_else/1.R,1.2.0
A1e5_N_N,1765799,timings/if_else/1.R,1.2.0
A1e5_N_1,1655869,timings/if_else/1.R,1.2.0
A1e5_1_N,1120678,timings/if_else/1.R,1.2.0
A1e5_N_1,1684180,timings/if_else/1.R,1.2.0
A1e5_N_N,1910062,timings/if_else/1.R,1.2.0
